distance,1,2,3,4,5,6,7
56.495,0.19704573,0.16114495,0.16583502,0.20368945,0.16555764,0.18177279,0.30829278
56.874,0.19502503,0.1633819,0.16644297,0.19295799,0.16088121,0.17835623,0.3108137
57.253,0.20211515,0.17106447,0.17251781,0.20292317,0.15878333,0.17840518,0.28747972
57.632,0.20684726,0.16988404,0.1714422,0.21081904,0.16103142,0.16222791,0.27629291
58.011,0.20152404,0.16420363,0.16225746,0.2200815,0.15622481,0.16398514,0.27299007
58.39,0.20842784,0.15130369,0.16684048,0.21840416,0.16169733,0.15971689,0.28571799
58.77,0.19325812,0.1541602,0.17494961,0.20290551,0.16200275,0.16241881,0.27980014
59.149,0.19059811,0.15984061,0.17246169,0.19165142,0.15139817,0.16165033,0.27425865
59.528,0.19243891,0.16251451,0.16164483,0.19157727,0.14353736,0.16889951,0.28138018
59.907,0.1937143,0.15525585,0.16911796,0.19192686,0.15859807,0.17103363,0.2841996
60.286,0.18443321,0.15251021,0.17151702,0.1861003,0.17627738,0.16562979,0.28357991
60.665,0.18578248,0.15825583,0.16719122,0.18428524,0.15414695,0.17203217,0.29316397
61.045,0.19554546,0.15574498,0.16217796,0.19178208,0.1472725,0.17691717,0.28707092
61.424,0.18207519,0.15220369,0.15940477,0.18622743,0.15900363,0.18067147,0.27729219
61.803,0.18242536,0.15108847,0.15068769,0.17850812,0.15932908,0.17262933,0.27853157
62.182,0.18027936,0.15388629,0.15796907,0.18213471,0.15513832,0.17236501,0.30426643
62.561,0.18396417,0.15586237,0.16224343,0.18790124,0.15551383,0.17988341,0.29264162
62.94,0.18696471,0.14947109,0.1572255,0.19076861,0.16064589,0.17043157,0.28022192
63.319,0.18757509,0.14951674,0.15485449,0.18077518,0.16342471,0.1642054,0.28996496
63.699,0.17886905,0.15499498,0.15580383,0.17542887,0.15535862,0.15753381,0.28056259
64.078,0.17884977,0.16194712,0.15581318,0.17282634,0.14678683,0.15831698,0.28042956
64.457,0.18167683,0.16127539,0.15303531,0.18401687,0.1397071,0.15839529,0.27773993
64.836,0.18089296,0.15684714,0.15361053,0.18613208,0.14233571,0.15401935,0.25874375
65.215,0.17787637,0.15890148,0.15279681,0.18590255,0.14631618,0.15278097,0.2538479
65.594,0.17912284,0.15423846,0.16094335,0.19054261,0.1528752,0.16626122,0.26955421
65.974,0.17739127,0.1498037,0.16403455,0.18239249,0.15729628,0.16572279,0.2590098
66.353,0.179624,0.14891022,0.15885294,0.17352906,0.14819877,0.15783729,0.26354227
66.732,0.17604842,0.14649067,0.15663625,0.17773478,0.13710352,0.15438157,0.27095257
67.111,0.16734559,0.14836892,0.15457857,0.17541121,0.13543622,0.15231107,0.26543378
67.49,0.1651996,0.15558845,0.15014988,0.17344431,0.1434923,0.15203207,0.26531049
67.869,0.17301897,0.14696023,0.15799245,0.16965881,0.14794342,0.15239428,0.27286354
68.249,0.16720102,0.14202982,0.16243049,0.15843297,0.15002629,0.15080837,0.27339887
68.628,0.16479803,0.14445589,0.16160275,0.16441491,0.15195394,0.15937915,0.26342223
69.007,0.16491689,0.14868196,0.15809534,0.18208174,0.14741269,0.15589895,0.25470443
69.386,0.16558189,0.14571458,0.15570562,0.18414046,0.14289148,0.16207617,0.2662384
69.765,0.17070272,0.14201025,0.15228707,0.18061627,0.14738265,0.16461167,0.26324703
70.144,0.17240859,0.14358851,0.14911169,0.17720862,0.14905495,0.16471936,0.26578418
70.523,0.17169861,0.13818201,0.14503842,0.17303822,0.14607085,0.16202233,0.29363117
70.903,0.16830293,0.13906244,0.14503842,0.17043569,0.1445838,0.15939872,0.27317825
71.282,0.17290332,0.14539502,0.14784435,0.16998722,0.13872074,0.15682407,0.2631497
71.661,0.16950443,0.14496459,0.1444632,0.170923,0.12976843,0.15689259,0.25662189
72.04,0.16209626,0.14378416,0.14425743,0.16365569,0.12605833,0.15865472,0.24645708
72.419,0.16222155,0.14787979,0.1420314,0.16286822,0.13074477,0.16256076,0.24665499
72.798,0.15357976,0.14801023,0.13927691,0.16359213,0.13743898,0.16001547,0.24081825
73.178,0.1468912,0.14481459,0.14312571,0.16176647,0.13463512,0.15637375,0.24766401
73.557,0.15041217,0.13863853,0.14355128,0.1633061,0.12926774,0.15969731,0.26237103
73.936,0.15996954,0.1412733,0.14108206,0.16648422,0.13015396,0.1635544,0.24495815
74.315,0.15541092,0.14380372,0.14030108,0.16212666,0.13130054,0.17546341,0.24599312
74.694,0.1528987,0.14324938,0.13733147,0.15681566,0.13022906,0.17592352,0.25068458
75.073,0.16007235,0.14477546,0.13789265,0.15623301,0.12845162,0.16709822,0.24314126
75.453,0.16248177,0.14393416,0.1420501,0.15949588,0.1298936,0.16283976,0.23453377
75.832,0.1546656,0.1390494,0.14547801,0.15918513,0.13107022,0.15422004,0.23859905
76.211,0.15394278,0.13488202,0.14014207,0.15763844,0.13391413,0.14804282,0.23748621
76.59,0.1556872,0.13914722,0.13649904,0.15649785,0.13433471,0.15390677,0.24268055
76.969,0.15805486,0.14084939,0.1359285,0.15407188,0.13182125,0.14991752,0.24322886
77.348,0.16116783,0.13835157,0.13803295,0.1563566,0.13155589,0.14517937,0.24380637
77.727,0.15519889,0.13449724,0.13395968,0.16117322,0.12936287,0.14500316,0.24838427
78.107,0.14997526,0.1301277,0.13491369,0.15916041,0.13005382,0.14112159,0.25129777
78.486,0.14834649,0.13402768,0.14079211,0.15537844,0.13341344,0.13552685,0.2384271
78.865,0.14833364,0.13801244,0.13921612,0.15441794,0.13153085,0.13553175,0.21768542
79.244,0.14869024,0.13329725,0.13261751,0.15221798,0.13574164,0.13261445,0.21187139
79.623,0.1448705,0.12974291,0.13262219,0.15069248,0.12913756,0.13171871,0.21582636
80.002,0.14018016,0.1319929,0.1381031,0.15222857,0.12536738,0.14069085,0.21785413
80.382,0.14447214,0.1344842,0.14373366,0.15189663,0.12666416,0.15570316,0.22470313
80.761,0.14762367,0.13888635,0.14537045,0.15409307,0.12481662,0.14870851,0.224343
81.14,0.14528171,,0.14092306,0.15402951,0.12271874,0.13606038,0.2212835
81.519,0.14499258,,0.14002048,0.14990148,0.11860809,0.12677008,0.22105314
81.898,0.13987497,,0.13829951,0.14605595,0.11387157,0.1283413,0.21199468
82.277,0.13687122,,0.13344526,0.14409611,0.11499312,0.14009369,0.21240348
82.657,0.13522318,,0.12951696,0.14780745,0.11517336,0.15147896,0.22642269
83.036,0.13662385,,0.13025585,0.15095732,0.1194893,0.1429914,0.23161703
83.415,0.14124673,,0.13188329,0.14912107,0.11502316,0.13671628,0.232652
83.794,0.14468739,,0.13135484,0.14900807,0.11674553,0.14059295,0.22285381
84.173,0.14507611,,0.13546085,0.15308313,0.11847791,0.1278714,0.22703913
84.552,0.14685908,,0.13960427,0.14932942,0.12113656,0.12286404,0.23179872
84.932,0.15162652,,0.14053023,0.14135586,0.11680561,0.12793993,0.23412173
85.311,0.14869666,,0.13874379,0.14050836,0.11753161,0.13257529,0.22499513
85.69,0.14354693,,0.13934238,0.14025411,0.12476655,0.13533106,0.21830186
86.069,0.14012555,,0.14517404,0.13961495,0.12827137,0.13438147,0.21801635
86.448,0.13769685,,0.14094176,0.1400387,0.12251346,0.13956015,0.21735449
86.827,0.13784142,,0.13157464,0.13793408,0.11238954,0.13440594,0.2084842
87.206,0.13677163,,0.12951228,0.1350773,0.11597947,0.13251656,0.20440594
87.586,0.13750088,,0.12637432,0.13447699,0.11765177,0.13260466,0.20651158
87.965,0.13811448,,0.12000019,0.1327043,0.11680561,0.13264872,0.21127766
88.344,0.13862849,,0.11733456,0.13622142,0.11769683,,0.2203491
88.723,0.13630902,,0.1162683,0.14540267,0.11478783,,0.22105314
89.102,0.13481197,,0.11858787,0.1485596,0.11262486,,0.21887613
89.481,0.13827832,,0.11813424,0.14201267,0.11056202,,0.21290637
89.861,0.13900436,,0.11558553,0.13688883,0.11186381,,0.21459023
90.24,0.13394458,,0.11470634,0.13657102,0.11574916,,0.21122899
90.619,0.13117535,,0.11293393,0.13532096,0.114182,,0.2087762
90.998,0.13352052,,0.11466425,0.13442402,0.1087295,,0.21030757
91.377,0.134359,,0.11764788,0.13350942,0.10785831,,0.21431121
91.756,0.13700936,,0.1131584,0.13264074,0.11075729,,0.21476867
92.136,0.13867026,,0.11010461,0.13340349,0.11070722,,0.21114788
92.515,0.13446822,,0.10806564,0.13662752,0.11055702,,0.20150866
92.894,0.13162189,,,0.13754211,0.10408812,,0.1964441
93.273,0.13079948,,,0.1313483,0.09705846,,0.19685939
93.652,0.13239933,,,0.12408806,0.10126424,,0.19741094
94.031,0.13254069,,,0.12175743,0.10917011,,0.19114269
94.41,0.13092156,,,0.12408806,0.11174365,,0.19082149
94.79,0.12710824,,,0.12730855,0.1049443,,0.19071767
95.169,0.12384749,,,0.1243529,,,0.19414379
95.548,0.12361619,,,0.1192114,,,0.19683343
95.927,0.12461208,,,0.12043321,,,0.19613912
96.306,0.12619588,,,0.12505209,,,0.19279411
96.685,0.1259967,,,0.12664115,,,0.18378431
97.065,0.12676771,,,0.12639749,,,0.17873921
97.444,0.12807844,,,0.12608321,,,0.18321004
97.823,0.12524175,,,0.12309931,,,0.18692492
98.202,0.11816447,,,0.11912665,,,0.18409902
98.581,0.11381466,,,0.11838156,,,0.18471222
98.96,0.11545628,,,0.11915137,,,0.18678541
99.34,0.1143351,,,0,,,0.18937123
99.719,0.11415198,,,0.14718242,,,0.18669781
100.098,0.11585464,,,0.13936777,,,0.17718513
100.477,0.1160249,,,0.13352002,,,0.175803
100.856,,,,0.13539158,,,0.17805139
101.235,,,,0.13612961,,,0.17482642
101.614,,,,0.13271489,,,0.17592953
101.994,,,,0.13292324,,,0.1819512
102.373,,,,0.13803295,,,0.18200311
102.752,,,,0.14470701,,,0.17348972
103.131,,,,0.14971079,,,0.16445396
103.51,,,,0.14561454,,,0.16070015
103.889,,,,0.13766217,,,0.16081695
104.269,,,,0.13678642,,,0.1626241
104.648,,,,0.13466767,,,0.1648952
105.027,,,,0.13049727,,,0.16301343
105.406,,,,0.12913774,,,0.15935046
105.785,,,,0.12950852,,,0.16239699
106.164,,,,0.13403205,,,0.1595062
106.544,,,,0.13890517,,,0.15344559
106.923,,,,0.13805061,,,0.15775096
107.302,,,,0.13179677,,,0.16508338
107.681,,,,0.12621387,,,0.16275388
108.06,,,,0.12014012,,,0.15682629
108.439,,,,0.12039437,,,0.15630718
108.818,,,,0.12520746,,,0.16199143
109.198,,,,0.12483668,,,0.16748102
109.577,,,,,,,0.16703329
109.956,,,,,,,0.16894751
110.335,,,,,,,0.16667316
110.714,,,,,,,0.16134579
111.093,,,,,,,0.15757576
111.473,,,,,,,0.15047693
111.852,,,,,,,0.14606774
112.231,,,,,,,0.14923756
112.61,,,,,,,0.15359808
112.989,,,,,,,0.1547239
113.368,,,,,,,0.15164493
113.748,,,,,,,
114.127,,,,,,,
114.506,,,,,,,
114.885,,,,,,,
115.264,,,,,,,
115.643,,,,,,,
116.023,,,,,,,
116.402,,,,,,,
116.781,,,,,,,
117.16,,,,,,,
117.539,,,,,,,
117.918,,,,,,,
118.297,,,,,,,
118.677,,,,,,,
119.056,,,,,,,
119.435,,,,,,,
119.814,,,,,,,
120.193,,,,,,,
120.572,,,,,,,
120.952,,,,,,,
121.331,,,,,,,
121.71,,,,,,,
122.089,,,,,,,
122.468,,,,,,,
122.847,,,,,,,
123.227,,,,,,,
123.606,,,,,,,
123.985,,,,,,,
124.364,,,,,,,
124.743,,,,,,,
125.122,,,,,,,
125.501,,,,,,,
125.881,,,,,,,
126.26,,,,,,,
126.639,,,,,,,
127.018,,,,,,,
127.397,,,,,,,
127.776,,,,,,,
128.156,,,,,,,
128.535,,,,,,,
128.914,,,,,,,
129.293,,,,,,,
129.672,,,,,,,
130.051,,,,,,,
130.431,,,,,,,
130.81,,,,,,,
131.189,,,,,,,
131.568,,,,,,,
131.947,,,,,,,
132.326,,,,,,,
132.705,,,,,,,
133.085,,,,,,,
133.464,,,,,,,
133.843,,,,,,,
134.222,,,,,,,
134.601,,,,,,,
134.98,,,,,,,
135.36,,,,,,,
135.739,,,,,,,
136.118,,,,,,,
136.497,,,,,,,
136.876,,,,,,,
137.255,,,,,,,
137.635,,,,,,,
138.014,,,,,,,
138.393,,,,,,,
138.772,,,,,,,
139.151,,,,,,,
139.53,,,,,,,
139.909,,,,,,,
140.289,,,,,,,
140.668,,,,,,,
141.047,,,,,,,
141.426,,,,,,,
141.805,,,,,,,
142.184,,,,,,,
142.564,,,,,,,
142.943,,,,,,,
143.322,,,,,,,
143.701,,,,,,,
144.08,,,,,,,
144.459,,,,,,,
144.839,,,,,,,
145.218,,,,,,,
145.597,,,,,,,
145.976,,,,,,,
146.355,,,,,,,
146.734,,,,,,,
147.114,,,,,,,
147.493,,,,,,,
147.872,,,,,,,
148.251,,,,,,,
148.63,,,,,,,
149.009,,,,,,,
149.388,,,,,,,
149.768,,,,,,,
150.147,,,,,,,
150.526,,,,,,,
150.905,,,,,,,
151.284,,,,,,,
151.663,,,,,,,
152.043,,,,,,,
152.422,,,,,,,
152.801,,,,,,,
153.18,,,,,,,
153.559,,,,,,,
153.938,,,,,,,
154.318,,,,,,,
154.697,,,,,,,
155.076,,,,,,,
155.455,,,,,,,
155.834,,,,,,,
156.213,,,,,,,
156.592,,,,,,,
156.972,,,,,,,
157.351,,,,,,,
157.73,,,,,,,
158.109,,,,,,,
158.488,,,,,,,
158.867,,,,,,,
159.247,,,,,,,
159.626,,,,,,,
160.005,,,,,,,
160.384,,,,,,,
160.763,,,,,,,
161.142,,,,,,,
161.522,,,,,,,
161.901,,,,,,,
162.28,,,,,,,
162.659,,,,,,,
163.038,,,,,,,
163.417,,,,,,,
163.796,,,,,,,
164.176,,,,,,,
164.555,,,,,,,
164.934,,,,,,,
165.313,,,,,,,
165.692,,,,,,,
166.071,,,,,,,
166.451,,,,,,,
166.83,,,,,,,
167.209,,,,,,,
167.588,,,,,,,
167.967,,,,,,,
168.346,,,,,,,
168.726,,,,,,,
169.105,,,,,,,
169.484,,,,,,,
169.863,,,,,,,
170.242,,,,,,,
170.621,,,,,,,
171,,,,,,,
171.38,,,,,,,
171.759,,,,,,,
172.138,,,,,,,
172.517,,,,,,,
172.896,,,,,,,
173.275,,,,,,,
173.655,,,,,,,
174.034,,,,,,,
174.413,,,,,,,
174.792,,,,,,,
175.171,,,,,,,
175.55,,,,,,,
175.93,,,,,,,
176.309,,,,,,,
176.688,,,,,,,
177.067,,,,,,,
177.446,,,,,,,
177.825,,,,,,,
178.204,,,,,,,
178.584,,,,,,,
178.963,,,,,,,
179.342,,,,,,,
179.721,,,,,,,
180.1,,,,,,,
180.479,,,,,,,
180.859,,,,,,,
181.238,,,,,,,
181.617,,,,,,,
181.996,,,,,,,
182.375,,,,,,,
182.754,,,,,,,
183.134,,,,,,,